1,!,,,,,,,,
2,!},,,,,,,,
3,$,,,,,,,,
4,$(,,,,,,,,
5,$((-1)^nn)$,,,,,,,,
6,$((-1)^nn+n)$,,,,,,,,
7,$((0,,,,,,,,
8,$((104,,,,,,,,
9,$((109,,,,,,,,
10,$((111,,,,,,,,
11,$((114,,,,,,,,
12,$((117,,,,,,,,
13,$((12,,,,,,,,
14,$((123,,,,,,,,
15,$((124,,,,,,,,
16,$((126,,,,,,,,
17,$((128,,,,,,,,
18,$((13,,,,,,,,
19,$((133,,,,,,,,
20,$((144,,,,,,,,
21,$((145,,,,,,,,
22,$((149,,,,,,,,
23,$((15,,,,,,,,
24,$((151,,,,,,,,
25,$((152,,,,,,,,
26,$((168,,,,,,,,
27,$((169,,,,,,,,
28,$((173,,,,,,,,
29,$((177,,,,,,,,
30,$((18,,,,,,,,
31,$((180,,,,,,,,
32,$((190,,,,,,,,
33,$((191,,,,,,,,
34,$((192,,,,,,,,
35,$((198,,,,,,,,
36,$((2,,,,,,,,
37,$((26,,,,,,,,
38,$((3,,,,,,,,
39,$((31,,,,,,,,
40,$((40,,,,,,,,
41,$((41,,,,,,,,
42,$((42,,,,,,,,
43,$((43,,,,,,,,
44,$((47,,,,,,,,
45,$((51,,,,,,,,
46,$((54,,,,,,,,
47,$((56,,,,,,,,
48,$((57,,,,,,,,
49,$((63,,,,,,,,
50,$((64,,,,,,,,
51,$((65,,,,,,,,
52,$((7,,,,,,,,
53,$((72,,,,,,,,
54,$((8,,,,,,,,
55,$((84,,,,,,,,
56,$((86,,,,,,,,
57,$((92,,,,,,,,
58,$((93,,,,,,,,
59,$((95,,,,,,,,
60,$((96,,,,,,,,
61,$((98,,,,,,,,
62,$(-1)^3,,,,,,,,
63,$(-1)^{\frac{p(p+1)}{2}+1}$,,,,,,,,
64,$(-1)^{n+1}$,,,,,,,,
65,$(-1)^{w_6+w_7+w_8+w_9}$,,,,,,,,
66,$(-\frac{1}{3},,,,,,,,
67,"$(-\infty,\infty)",,,,,,,,
68,$(-\log,,,,,,,,
69,$(-\sin(a),,,,,,,,
70,"$(-\sin\phi\cos\theta,=-\sin\phi\sin\theta\cos\phi)$",,,,,,,,
71,$(-a)^n,,,,,,,,
72,$(-a)^n$,,,,,,,,
73,$(-a)^{n},,,,,,,,
74,$(-i)^2,,,,,,,,
75,$(0,,,,,,,,
76,$(0,,,,,,,,
77,"$(0,\pm",,,,,,,,
78,$(0,id,0,id)$,,,,,
79,$(0,x_1)$,,,,,,,
80,$(1,,,,,,,,
81,$(1)+(6+6)+(1+3,,,,,,,,
82,$(1+\frac{\theta_{0}^{2}}{16})$,,,,,,,,
83,$(1+\sqrt{7})$,,,,,,,,
84,$(1+i)$,,,,,,,,
85,$(1+t)^n$,,,,,,,,
86,$(1+t)^n=1,,,,,,,,
87,$(1,,,,,,,,
88,$(1,\alpha,\alpha^{2},\ldots,\alpha^{n-1})$,,,,
89,$(1-1)^3+1^3<\frac{1}{4}2^4<1^3+2^3$,,,,,,,,
90,$(1-2^{-s})(1+\frac{1}{2^s}+\frac{1}{3^s}+\frac{1}{4^s}+\frac{1}{5^s}+\ldots)$,,,,,,,,
91,$(1-j)$,,,,,,,,
92,$(1-j)(m-n),,,,,,,,
93,$(1-j)l_1,,,,,,,,
94,$(1-j)m,,,,,,,,
95,$(1-q_{12}^2)^2,,,,,,,,
96,$(1-t^n)a_n(t),,,,,,,,
97,$(1-u)$,,,,,,,,
98,$(1-x)^{\alpha+1}(1+x)^{\beta+1}$,,,,,,,,
